Unique ID,Campaign type,Season,LTP,Date,Planned window (UT),Triggered by,EUI observed (UT),EUI files,EUI cadence,EUI status,EUI SOOP in SOAR,SPICE observed (UT),SPICE files,SPICE cadence,SPICE status,SPICE SOOP in SOAR,PHI observed (UT),PHI files,PHI cadence,PHI status,PHI SOOP in SOAR,Instruments in SOAR,Source,Notes,EUI start (UTC),EUI end (UTC),SPICE start (UTC),SPICE end (UTC),PHI start (UTC),PHI end (UTC)
MFW20240319A,Major Flare,Spring 2024,LTP15,2024-03-19,20:00 - 00:00 (+1d),,20:00 - 23:59,5395,2 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,20:00 - 23:57,37,327 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,20:02 - 23:33,8,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2024-03-19 20:00,2024-03-19 23:59,2024-03-19 20:00,2024-03-19 23:57,2024-03-19 20:02,2024-03-19 23:33
MFW20240323A,Major Flare,Spring 2024,LTP15,2024-03-23,22:30 - 02:30 (+1d),,22:30 - 02:29 (+1d),5395,2 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,22:30 - 02:27 (+1d),37,327 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,22:30 - 02:01 (+1d),8,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2024-03-23 22:30,2024-03-24 02:29,2024-03-23 22:30,2024-03-24 02:27,2024-03-23 22:30,2024-03-24 02:01
MFW20240402A,Major Flare,Spring 2024,LTP15,2024-04-02,20:00 - 00:00 (+1d),,20:00 - 23:23,4590,2 s,ended 36 min early,L_BOTH_HRES_HCAD_Major-Flare,20:00 - 23:21,31,327 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,20:00 - 23:31,8,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2024-04-02 20:00,2024-04-02 23:23,2024-04-02 20:00,2024-04-02 23:21,2024-04-02 20:00,2024-04-02 23:31
MFW20240403A,Major Flare,Spring 2024,LTP15,2024-04-03,20:00 - 02:00 (+1d),,20:30 - 23:29,900,8 s,as planned,L_BOTH_HRES_HCAD_Major-Flare;R_SMALL_HRES_HCAD_RS-burst,20:00 - 01:57 (+1d),257,52 s,ended 58 min late,R_SMALL_HRES_HCAD_RS-burst,,,,not yet in SOAR,,"EUI, SPICE",Catalogue,Joint SOOP with RS BURST,2024-04-03 20:30,2024-04-03 23:29,2024-04-03 20:00,2024-04-04 01:57,,
MFW20240404A,Major Flare,Spring 2024,LTP15,2024-04-04,20:00 - 00:00 (+1d),,20:00 - 23:58,5376,2 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,20:00 - 23:57,37,327 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,20:00 - 23:31,7,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2024-04-04 20:00,2024-04-04 23:58,2024-04-04 20:00,2024-04-04 23:57,2024-04-04 20:00,2024-04-04 23:31
MFW20240405A,Major Flare,Spring 2024,LTP15,2024-04-05,20:00 - 00:00 (+1d),,20:00 - 23:58,5378,2 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,20:00 - 23:57,37,327 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,20:00 - 23:31,8,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2024-04-05 20:00,2024-04-05 23:58,2024-04-05 20:00,2024-04-05 23:57,2024-04-05 20:00,2024-04-05 23:31
MFW20240406A,Major Flare,Spring 2024,LTP15,2024-04-06,20:00 - 00:00 (+1d),,19:59 - 23:57,4316,2 s,as planned; ran past planned window,L_BOTH_HRES_HCAD_Major-Flare,19:55 - 23:52,37,327 s,as planned,L_BOTH_HRES_HCAD_Major-Flare,20:00 - 23:31,8,30 min,as planned,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2024-04-06 19:59,2024-04-06 23:57,2024-04-06 19:55,2024-04-06 23:52,2024-04-06 20:00,2024-04-06 23:31
MFW20241015A,Major Flare,Autumn 2024,LTP17,2024-10-15,15:00 - 00:00 (+1d),,18:00 - 22:29,6071,2 s,ended 30 min late; ran past planned window,L_BOTH_HRES_HCAD_Major-Flare,14:05 - 23:58,97,327 s,started 54 min early; ran past planned window,L_BOTH_HRES_HCAD_Major-Flare,18:00 - 22:01,9,30 min,started 180 min late; ended 119 min early,L_BOTH_HRES_HCAD_Major-Flare,"EUI, SPICE, PHI",Catalogue,,2024-10-15 18:00,2024-10-15 22:29,2024-10-15 14:05,2024-10-15 23:58,2024-10-15 18:00,2024-10-15 22:01
MFT20241204a,Flare Hunting,Winter 2024,LTP17,2024-12-04,07:00 - 11:00,EUI,07:00 - 10:59,3840,3 s,as planned,none,06:00 - 09:35,13,11710 s,started 59 min early; ran past planned window,R_FULL_LRES_LCAD_RS-Synoptics-High,,,,n/a - PHI does not run flare-hunting,,"EUI, SPICE",Catalogue,,2024-12-04 07:00,2024-12-04 10:59,2024-12-04 06:00,2024-12-04 09:35,,
MFT20241205a,Flare Hunting,Winter 2024,LTP17,2024-12-05,00:00 - 04:00,EUI,00:00 - 03:59,3840,3 s,as planned,none,,,,no data,,,,,n/a - PHI does not run flare-hunting,,EUI,Catalogue,,2024-12-05 00:00,2024-12-05 03:59,,,,
