uid,kind,ltp,rsw,season,date,window,eui_window,spice_window,phi_window,trigger_instrument,seen_from_earth,so_location,so_au,target_coords,notes,eui_observed,eui_files,eui_cadence,eui_status,spice_observed,spice_files,spice_cadence,phi_observed,phi_files,phi_cadence,instruments_soar,soop
MFW20240319A,Major Flare,LTP15,13,Spring 2024,2024-03-19,20:00 - 00:00,20:00-00:00,20:00 - 00:00,,,Yes,"(-1.39, -7.57)",0.44,,,20:00 - 23:59,5395,2 s,as planned,20:00 - 23:57,37,327 s,20:02 - 23:33,8,30 min,"EUI, SPICE, PHI",L_BOTH_HRES_HCAD_Major-Flare
MFW20240323A,Major Flare,LTP15,13,Spring 2024,2024-03-23,22:30 - 02:30,22:30-02:30,22:30 - 02:30,,,Yes,"(10.92, - 7.99)",0.38,,,22:30 - 02:29 (+1d),5395,2 s,as planned,22:30 - 02:27 (+1d),37,327 s,22:30 - 02:01 (+1d),8,30 min,"EUI, SPICE, PHI",L_BOTH_HRES_HCAD_Major-Flare
MFW20240402A,Major Flare,LTP15,14,Spring 2024,2024-04-02,20:00 - 00:00,20:00-00:00,20:00 - 23:22,,,No,"(62.75, -4.12)",0.29,,,20:00 - 23:23,4590,2 s,ended 36 min early,20:00 - 23:21,31,327 s,20:00 - 23:31,8,30 min,"EUI, SPICE, PHI",L_BOTH_HRES_HCAD_Major-Flare
MFW20240403A,Major Flare,LTP15,14,Spring 2024,2024-04-03,20:00:00 - 02:00,20:30 - 23:30,20:00 - 01:00,,,,"(69.39, -3.16)",0.29,,Joint SOOP with RS BURST,20:30 - 23:29,900,8 s,as planned,20:00 - 01:57 (+1d),257,52 s,,,,"EUI, SPICE",L_BOTH_HRES_HCAD_Major-Flare;R_SMALL_HRES_HCAD_RS-burst
MFW20240404A,Major Flare,LTP15,14,Spring 2024,2024-04-04,20:00 - 00:00,20:00-00:00,20:00 - 00:00,,,No,"(76.6, -2.07)",0.29,,,20:00 - 23:58,5376,2 s,as planned,20:00 - 23:57,37,327 s,20:00 - 23:31,7,30 min,"EUI, SPICE, PHI",L_BOTH_HRES_HCAD_Major-Flare
MFW20240405A,Major Flare,LTP15,14,Spring 2024,2024-04-05,20:00 - 00:00,20:00-00:00,20:00 - 00:00,,,No,"(82.6, -1.12)",0.3,,,20:00 - 23:58,5378,2 s,as planned,20:00 - 23:57,37,327 s,20:00 - 23:31,8,30 min,"EUI, SPICE, PHI",L_BOTH_HRES_HCAD_Major-Flare
MFW20240406A,Major Flare,LTP15,14,Spring 2024,2024-04-06,20:00 - 00:00,20:00-00:00,20:00 - 00:00,,,No,"(89.0, -0.1)",0.3,,,19:59 - 23:57,4316,2 s,as planned; ran past planned window,19:55 - 23:52,37,327 s,20:00 - 23:31,8,30 min,"EUI, SPICE, PHI",L_BOTH_HRES_HCAD_Major-Flare
MFW20241015A,Major Flare,LTP17,17,Autumn 2024,2024-10-15,15:00 - 00:00,18:00-22:00,15:00 - 00:00,,,,"(-31.8, 7.2)",0.43,,,18:00 - 22:29,6071,2 s,ended 30 min late; ran past planned window,14:05 - 23:58,97,327 s,18:00 - 22:01,9,30 min,"EUI, SPICE, PHI",L_BOTH_HRES_HCAD_Major-Flare
MFT20241204a,Trigger,LTP17,,Winter 2024,2024-12-04,07:00-11:00,,,,EUI,,"(-5.75, 5.2)",0.9,,,07:00 - 10:59,3840,3 s,as planned,06:00 - 09:35,13,11710 s,,,,"EUI, SPICE",none
MFT20241205a,Trigger,LTP17,,Winter 2024,2024-12-05,00:00-04:00,,,,EUI,,"(-5.89, 5.14)",0.9,,,00:00 - 03:59,3840,3 s,as planned,,,,,,,EUI,none
