flare_id,campaign_uid,date,time_ut,goes_class,observed_by,seen_from_earth,so_au,hg_stonyhurst
2024-03-19T23-30,MFW20240319A,2024-03-19,23:30,M2.2,"EUI, SPICE",Yes,0.44,"(-1.39, -7.57)"
2024-03-23T22-44,MFW20240323A,2024-03-23,22:44,C5.9,EUI,Yes,0.38,"(10.92, - 7.99)"
2024-03-23T22-54,MFW20240323A,2024-03-23,22:54,C7.9,EUI,Yes,0.38,"(10.92, - 7.99)"
2024-03-23T23-41,MFW20240323A,2024-03-23,23:41,M2.5,"EUI, SPICE",Yes,0.38,"(10.92, - 7.99)"
2024-03-24T00-53,MFW20240323A,2024-03-24,00:53,C9.9,EUI,Yes,0.38,"(10.92, - 7.99)"
2024-03-24T01-48,MFW20240323A,2024-03-24,01:48,M2.2,"EUI, SPICE",Yes,0.38,"(10.92, - 7.99)"
2024-03-24T02-09,MFW20240323A,2024-03-24,02:09,M2.7,EUI,Yes,0.38,"(10.92, - 7.99)"
2024-04-02T20-55,MFW20240402A,2024-04-02,20:55,B5,EUI,No,0.29,"(62.75, -4.12)"
2024-04-02T20-59,MFW20240402A,2024-04-02,20:59,B3,EUI,No,0.29,"(62.75, -4.12)"
2024-04-02T21-32,MFW20240402A,2024-04-02,21:32,B6,EUI,No,0.29,"(62.75, -4.12)"
2024-04-03T21-52,MFW20240403A,2024-04-03,21:52,B3.3,EUI,,0.29,"(69.39, -3.16)"
2024-04-04T20-05,MFW20240404A,2024-04-04,20:05,C2.5,EUI,No,0.29,"(76.6, -2.07)"
2024-04-04T20-12,MFW20240404A,2024-04-04,20:12,C5.0,EUI,No,0.29,"(76.6, -2.07)"
2024-04-04T21-16,MFW20240404A,2024-04-04,21:16,C1.0,EUI,No,0.29,"(76.6, -2.07)"
2024-04-04T21-42,MFW20240404A,2024-04-04,21:42,C3.2,EUI,No,0.29,"(76.6, -2.07)"
2024-04-05T20-12,MFW20240405A,2024-04-05,20:12,C9.9,EUI,No,0.3,"(82.6, -1.12)"
2024-04-05T21-46,MFW20240405A,2024-04-05,21:46,C1.4,EUI,No,0.3,"(82.6, -1.12)"
2024-04-05T22-19,MFW20240405A,2024-04-05,22:19,C1.1,EUI,No,0.3,"(82.6, -1.12)"
2024-04-05T23-42,MFW20240405A,2024-04-05,23:42,B5,EUI,No,0.3,"(82.6, -1.12)"
2024-10-15T16-25,MFW20241015A,2024-10-15,16:25,C2.0,"EUI, SPICE",,0.43,"(-31.8, 7.2)"
2024-10-15T18-30,MFW20241015A,2024-10-15,18:30,M2.0,EUI,,0.43,"(-31.8, 7.2)"
2024-10-15T19-48,MFW20241015A,2024-10-15,19:48,C4,EUI,,0.43,"(-31.8, 7.2)"
2024-10-15T23-15,MFW20241015A,2024-10-15,23:15,C9.0,SPICE,,0.43,"(-31.8, 7.2)"
2024-12-05T00-43,MFT20241205a,2024-12-05,00:43,C2,EUI,,0.9,"(-5.89, 5.14)"
2024-12-07T13-06,MFT20241207a,2024-12-07,13:06,M2.4,EUI,,0.91,"(-6.4, 4.9)"
2024-12-11T02-10,MFT20241211a,2024-12-11,02:10,C3.1,EUI,,0.92,"(-7.2, 4.6)"
2024-12-11T03-26,MFT20241211a,2024-12-11,03:26,C6.9,EUI,,0.92,"(-7.2, 4.6)"
2025-03-14T21-30,MFW20250314A,2025-03-14,21:30,C1.9,"EUI, SPICE",,0.45,"(1.8, -14.3)"
2025-03-30T14-04,MFW20250330A,2025-03-30,14:04,C1.5,EUI,,0.3,"(72.4, -10.4)"
2025-09-13T19-15,MFW20250913A,2025-09-13,19:15,Unknown,SPICE,,0.3,"(-97.9, -12.4)"
2025-09-17T09-35,MFW20250917A,2025-09-17,09:35,C1.8,EUI,,0.3,"(-75.3, -6.0)"
2025-10-06T20-33,MFW20251006A,2025-10-06,20:33,C5.1,"EUI, SPICE",,0.5,"(-1.6, 16.1)"
2025-11-24T10-31,MFT20251124a,2025-11-24,10:31,B9.1,EUI,,0.88,"(16.3, 11.3)"
2025-11-24T12-29,MFT20251124a,2025-11-24,12:29,B7.8,EUI,,0.88,"(16.3, 11.3)"
2025-11-26T10-22,MFT20251126a,2025-11-26,10:22,C2,EUI,,0.88,"(15.9, 10.9)"
2025-11-28T10-12,MFT20251128a,2025-11-28,10:12,C3.6,EUI,,0.89,"(15.6, 10.5)"
2025-12-10T07-35,MFT20251210a,2025-12-10,07:35,M2.0,EUI,,0.9,"(13.2, 8.2)"
2025-12-10T09-54,MFT20251210a,2025-12-10,09:54,M1.0,EUI,,0.9,"(13.2, 8.2)"
2026-01-30T20-26,MFT20260130a,2026-01-30,20:26,B9.7,EUI,,0.63,"(12.0, -6.7)"
2026-02-04T18-56,MFT20260204a,2026-02-04,18:56,C2.2,EUI,,0.58,"(15.5, -9.0)"
2026-02-05T13-00,MFT20260205a,2026-02-05,13:00,M1.7,EUI,,0.57,"(16.3, -9.4)"
2026-02-05T15-08,MFT20260205a,2026-02-05,15:08,M1.8,EUI,,0.57,"(16.3, -9.4)"
2026-02-06T09-25,MFT20260206a,2026-02-06,09:25,C3.2,EUI,,0.56,"(17.1, -9.8)"
2026-02-08T05-45,MFT20260208b,2026-02-08,05:45,C5,SPICE,YES,0.54,"(19.2, -10.7)"
